source_seed_id,platform,source_title,handle,url,source_kind,source_scope_guess,priority,discovered_from,discovered_from_url,why_seeded,expected_value,known_risks,initial_status,monitoring_enabled,rights_policy,notes,profile_probe_enabled,comments_discovery_enabled,forward_repost_edge_enabled,seed_batch,source_profile_url,profile_probe_status
v2_018,vkvideo,Интересные путешествия,@intravel39,https://vk.com/intravel39,travel_media,mixed,1,manual_seed,user_provided_seed_list,"VK Video travel channel, в подборке упоминался контент про Калининград",VK Video seed with known Kaliningrad mention,проверить доступность API/постов и права на media,seed_monitor_candidate,true,unknown,VK Video pilot,true,false,true,v1_promoted,https://vk.com/intravel39,seed_candidate
v2_019,vkvideo,Коте Оганезов,@koteoganezov,https://vk.com/koteoganezov,author_channel,external,2,manual_seed,user_provided_seed_list,"travel/food blogger format, потенциально полезен для гастрономии/маршрутов",travel/food source,не гарантирован Калининград; нужен relevance filter,seed_candidate,false,unknown,candidate,true,false,true,v1_promoted,https://vk.com/koteoganezov,seed_candidate
v2_020,vkvideo,Своим Ходом — Виталик и Лиза,@svoimxodom,https://vk.com/svoimxodom,author_channel,external,2,manual_seed,user_provided_seed_list,VK layer того же travel-блогерского проекта,cross-platform identity with Telegram source,связать с Telegram identity; проверить API access,seed_candidate,false,unknown,cross-platform identity,true,false,true,v1_promoted,https://vk.com/svoimxodom,seed_candidate
v2_021,vkvideo,Нежный Travel,@nejniy_travel,https://vk.com/nejniy_travel,author_channel,external,1,manual_seed,user_provided_seed_list,VK layer авторского travel-проекта,VK author travel source,проверить API access и media reuse,seed_monitor_candidate,true,unknown,VK monitor candidate,true,false,true,v1_promoted,https://vk.com/nejniy_travel,seed_candidate
v2_022,vkvideo,Путешествия со смыслом / Алексей Жирухин,@bepowerbacktravel,https://vk.com/bepowerbacktravel,author_channel,external,1,manual_seed,user_provided_seed_list,VK layer авторского проекта о России,VK author Russia travel source,проверить canonical mapping с Telegram @bepowerback_travel,seed_monitor_candidate,true,unknown,cross-platform mapping,true,false,true,v1_promoted,https://vk.com/bepowerbacktravel,seed_candidate
v2_023,vkvideo,РГО,@rgoclub,https://vk.com/rgoclub,official_project,mixed,1,manual_seed,user_provided_seed_list,официальный/проектный VK Video источник РГО,official VK Video source,media rights and official repost policy,seed_monitor_candidate,true,unknown,official VK layer,true,false,true,v1_promoted,https://vk.com/rgoclub,seed_candidate
v2_024,vkvideo,Моя Планета,@moyaplaneta,https://vk.com/moyaplaneta,travel_media,mixed,2,manual_seed,user_provided_seed_list,крупный travel/media source,VK media source,news/incident contamination; строгий newsiness filter,seed_candidate,false,unknown,strict newsiness,true,false,true,v1_promoted,https://vk.com/moyaplaneta,seed_candidate
v2_025,vkvideo,Лесные — жизнь в лесу,@lesnue_channel,https://vk.com/lesnue_channel,nature_project,external,3,manual_seed,user_provided_seed_list,"nature/outdoor source, полезен для visual discovery",nature/outdoor visual discovery,Калининград может не встречаться; скорее expansion seed,seed_candidate,false,unknown,expansion seed,true,false,true,v1_promoted,https://vk.com/lesnue_channel,seed_candidate
v2_026,web,Telega.in travel/tourism catalog,,https://telega.in/catalog/travel,catalog,unknown,1,catalog_seed,user_provided_seed_list,каталог travel/tourism Telegram channels with descriptions/subscribers/ERR,primary Telegram catalog discovery,catalog data may be stale; do not auto-monitor every entry,seed_monitor_candidate,false,link_only,catalog discovery only,true,false,true,v1_promoted,https://telega.in/catalog/travel,seed_candidate
v2_027,web,TLGRM travel category,,https://tlgrm.ru/channels/travel,catalog,unknown,1,catalog_seed,user_provided_seed_list,дополнительный каталог Telegram travel channels,cross-check Telegram sources,catalog data may be stale,seed_monitor_candidate,false,link_only,catalog discovery only,true,false,true,v1_promoted,https://tlgrm.ru/channels/travel,seed_candidate
v2_028,web,TGStat travel category,,https://tgstat.ru/ratings/channels/travel,catalog,unknown,1,catalog_seed,user_provided_seed_list,дополнительный источник discovery/cross-check,cross-check handles and source metadata,catalog access/rate limits; data may be stale,seed_monitor_candidate,false,link_only,catalog discovery only,true,false,true,v1_promoted,https://tgstat.ru/ratings/channels/travel,seed_candidate
v2_029,web,VK Video travel channel selections,,https://vk.com/video,catalog,unknown,1,catalog_seed,user_provided_seed_list,стартовый источник VK Video travel handles,VK Video source discovery,manual extraction may be needed; API availability unknown,seed_monitor_candidate,false,link_only,catalog discovery only,true,false,true,v1_promoted,https://vk.com/video,seed_candidate
v2_030,vk,VK Места,,https://vk.com/places,discovery_hub,mixed,2,manual_seed,user_provided_seed_list,"travel hub with routes/places/media-expedition materials, useful for discovery",VK travel hub and regional route discovery,not necessarily a direct post parsing source,seed_candidate,false,unknown,discovery hub only,true,false,true,v1_promoted,https://vk.com/places,seed_candidate
v2_031,telegram,Telegram travel discovery candidate 001,,https://tgstat.ru/search?query=travel+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4,catalog,mixed,3,catalog_seed,https://tgstat.ru/,seed v2 discovery lane for Telegram travel sources; profile probe required before monitoring,source graph expansion; not auto-monitored,catalog/search placeholder; requires profile probe and manual acceptance,seed_candidate,false,unknown,v2 disabled seed; do not monitor until probed,true,false,true,telegram_catalog_expansion,,seed_candidate
v2_032,telegram,Telegram route discovery candidate 002,,https://tgstat.ru/search?query=route+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4,travel_media,mixed,3,catalog_seed,https://tgstat.ru/,seed v2 discovery lane for Telegram route sources; profile probe required before monitoring,source graph expansion; not auto-monitored,catalog/search placeholder; requires profile probe and manual acceptance,seed_candidate,false,unknown,v2 disabled seed; do not monitor until probed,true,false,true,telegram_catalog_expansion,,seed_candidate
v2_033,telegram,Telegram photo discovery candidate 003,,https://tgstat.ru/search?query=photo+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4,travel_media,mixed,3,catalog_seed,https://tgstat.ru/,seed v2 discovery lane for Telegram photo sources; profile probe required before monitoring,source graph expansion; not auto-monitored,catalog/search placeholder; requires profile probe and manual acceptance,seed_candidate,false,unknown,v2 disabled seed; do not monitor until probed,true,false,true,telegram_catalog_expansion,,seed_candidate
v2_034,telegram,Telegram russia_travel discovery candidate 004,,https://tgstat.ru/search?query=russia_travel+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4,travel_media,mixed,3,catalog_seed,https://tgstat.ru/,seed v2 discovery lane for Telegram russia_travel sources; profile probe required before monitoring,source graph expansion; not auto-monitored,catalog/search placeholder; requires profile probe and manual acceptance,seed_candidate,false,unknown,v2 disabled seed; do not monitor until probed,true,false,true,telegram_catalog_expansion,,seed_candidate
v2_035,telegram,Telegram author discovery candidate 005,,https://tgstat.ru/search?query=author+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4,author_channel,mixed,3,catalog_seed,https://tgstat.ru/,seed v2 discovery lane for Telegram author sources; profile probe required before monitoring,source graph expansion; not auto-monitored,catalog/search placeholder; requires profile probe and manual acceptance,seed_candidate,false,unknown,v2 disabled seed; do not monitor until probed,true,false,true,telegram_catalog_expansion,,seed_candidate
v2_036,telegram,Telegram nature discovery candidate 006,,https://tgstat.ru/search?query=nature+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4,catalog,mixed,3,catalog_seed,https://tgstat.ru/,seed v2 discovery lane for Telegram nature sources; profile probe required before monitoring,source graph expansion; not auto-monitored,catalog/search placeholder; requires profile probe and manual acceptance,seed_candidate,false,unknown,v2 disabled seed; do not monitor until probed,true,false,true,telegram_catalog_expansion,,seed_candidate
v2_037,telegram,Telegram architecture discovery candidate 007,,https://tgstat.ru/search?query=architecture+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4,travel_media,mixed,3,catalog_seed,https://tgstat.ru/,seed v2 discovery lane for Telegram architecture sources; profile probe required before monitoring,source graph expansion; not auto-monitored,catalog/search placeholder; requires profile probe and manual acceptance,seed_candidate,false,unknown,v2 disabled seed; do not monitor until probed,true,false,true,telegram_catalog_expansion,,seed_candidate
v2_038,telegram,Telegram history discovery candidate 008,,https://tgstat.ru/search?query=history+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4,travel_media,mixed,3,catalog_seed,https://tgstat.ru/,seed v2 discovery lane for Telegram history sources; profile probe required before monitoring,source graph expansion; not auto-monitored,catalog/search placeholder; requires profile probe and manual acceptance,seed_candidate,false,unknown,v2 disabled seed; do not monitor until probed,true,false,true,telegram_catalog_expansion,,seed_candidate
v2_039,telegram,Telegram weekend discovery candidate 009,,https://tgstat.ru/search?query=weekend+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4,travel_media,mixed,3,catalog_seed,https://tgstat.ru/,seed v2 discovery lane for Telegram weekend sources; profile probe required before monitoring,source graph expansion; not auto-monitored,catalog/search placeholder; requires profile probe and manual acceptance,seed_candidate,false,unknown,v2 disabled seed; do not monitor until probed,true,false,true,telegram_catalog_expansion,,seed_candidate
v2_040,telegram,Telegram roadtrip discovery candidate 010,,https://tgstat.ru/search?query=roadtrip+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4,travel_media,mixed,3,catalog_seed,https://tgstat.ru/,seed v2 discovery lane for Telegram roadtrip sources; profile probe required before monitoring,source graph expansion; not auto-monitored,catalog/search placeholder; requires profile probe and manual acceptance,seed_candidate,false,unknown,v2 disabled seed; do not monitor until probed,true,false,true,telegram_catalog_expansion,,seed_candidate
v2_041,telegram,Telegram local_story discovery candidate 011,,https://tgstat.ru/search?query=local_story+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4,catalog,mixed,3,catalog_seed,https://tgstat.ru/,seed v2 discovery lane for Telegram local_story sources; profile probe required before monitoring,source graph expansion; not auto-monitored,catalog/search placeholder; requires profile probe and manual acceptance,seed_candidate,false,unknown,v2 disabled seed; do not monitor until probed,true,false,true,telegram_catalog_expansion,,seed_candidate
v2_042,telegram,Telegram outdoor discovery candidate 012,,https://tgstat.ru/search?query=outdoor+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4,travel_media,mixed,3,catalog_seed,https://tgstat.ru/,seed v2 discovery lane for Telegram outdoor sources; profile probe required before monitoring,source graph expansion; not auto-monitored,catalog/search placeholder; requires profile probe and manual acceptance,seed_candidate,false,unknown,v2 disabled seed; do not monitor until probed,true,false,true,telegram_catalog_expansion,,seed_candidate
v2_043,telegram,Telegram coast discovery candidate 013,,https://tgstat.ru/search?query=coast+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4,travel_media,mixed,3,catalog_seed,https://tgstat.ru/,seed v2 discovery lane for Telegram coast sources; profile probe required before monitoring,source graph expansion; not auto-monitored,catalog/search placeholder; requires profile probe and manual acceptance,seed_candidate,false,unknown,v2 disabled seed; do not monitor until probed,true,false,true,telegram_catalog_expansion,,seed_candidate
v2_044,telegram,Telegram museum discovery candidate 014,,https://tgstat.ru/search?query=museum+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4,travel_media,mixed,3,catalog_seed,https://tgstat.ru/,seed v2 discovery lane for Telegram museum sources; profile probe required before monitoring,source graph expansion; not auto-monitored,catalog/search placeholder; requires profile probe and manual acceptance,seed_candidate,false,unknown,v2 disabled seed; do not monitor until probed,true,false,true,telegram_catalog_expansion,,seed_candidate
v2_045,telegram,Telegram heritage discovery candidate 015,,https://tgstat.ru/search?query=heritage+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4,travel_media,mixed,3,catalog_seed,https://tgstat.ru/,seed v2 discovery lane for Telegram heritage sources; profile probe required before monitoring,source graph expansion; not auto-monitored,catalog/search placeholder; requires profile probe and manual acceptance,seed_candidate,false,unknown,v2 disabled seed; do not monitor until probed,true,false,true,telegram_catalog_expansion,,seed_candidate
v2_046,telegram,Telegram travel discovery candidate 016,,https://tgstat.ru/search?query=travel+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4,catalog,mixed,3,catalog_seed,https://tgstat.ru/,seed v2 discovery lane for Telegram travel sources; profile probe required before monitoring,source graph expansion; not auto-monitored,catalog/search placeholder; requires profile probe and manual acceptance,seed_candidate,false,unknown,v2 disabled seed; do not monitor until probed,true,false,true,telegram_catalog_expansion,,seed_candidate
v2_047,telegram,Telegram route discovery candidate 017,,https://tgstat.ru/search?query=route+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4,travel_media,mixed,3,catalog_seed,https://tgstat.ru/,seed v2 discovery lane for Telegram route sources; profile probe required before monitoring,source graph expansion; not auto-monitored,catalog/search placeholder; requires profile probe and manual acceptance,seed_candidate,false,unknown,v2 disabled seed; do not monitor until probed,true,false,true,telegram_catalog_expansion,,seed_candidate
v2_048,telegram,Telegram photo discovery candidate 018,,https://tgstat.ru/search?query=photo+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4,travel_media,mixed,3,catalog_seed,https://tgstat.ru/,seed v2 discovery lane for Telegram photo sources; profile probe required before monitoring,source graph expansion; not auto-monitored,catalog/search placeholder; requires profile probe and manual acceptance,seed_candidate,false,unknown,v2 disabled seed; do not monitor until probed,true,false,true,telegram_catalog_expansion,,seed_candidate
v2_049,telegram,Telegram russia_travel discovery candidate 019,,https://tgstat.ru/search?query=russia_travel+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4,travel_media,mixed,3,catalog_seed,https://tgstat.ru/,seed v2 discovery lane for Telegram russia_travel sources; profile probe required before monitoring,source graph expansion; not auto-monitored,catalog/search placeholder; requires profile probe and manual acceptance,seed_candidate,false,unknown,v2 disabled seed; do not monitor until probed,true,false,true,telegram_catalog_expansion,,seed_candidate
v2_050,telegram,Telegram author discovery candidate 020,,https://tgstat.ru/search?query=author+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4,author_channel,mixed,3,catalog_seed,https://tgstat.ru/,seed v2 discovery lane for Telegram author sources; profile probe required before monitoring,source graph expansion; not auto-monitored,catalog/search placeholder; requires profile probe and manual acceptance,seed_candidate,false,unknown,v2 disabled seed; do not monitor until probed,true,false,true,telegram_catalog_expansion,,seed_candidate
v2_051,telegram,Telegram nature discovery candidate 021,,https://tgstat.ru/search?query=nature+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4,catalog,mixed,3,catalog_seed,https://tgstat.ru/,seed v2 discovery lane for Telegram nature sources; profile probe required before monitoring,source graph expansion; not auto-monitored,catalog/search placeholder; requires profile probe and manual acceptance,seed_candidate,false,unknown,v2 disabled seed; do not monitor until probed,true,false,true,telegram_catalog_expansion,,seed_candidate
v2_052,telegram,Telegram architecture discovery candidate 022,,https://tgstat.ru/search?query=architecture+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4,travel_media,mixed,3,catalog_seed,https://tgstat.ru/,seed v2 discovery lane for Telegram architecture sources; profile probe required before monitoring,source graph expansion; not auto-monitored,catalog/search placeholder; requires profile probe and manual acceptance,seed_candidate,false,unknown,v2 disabled seed; do not monitor until probed,true,false,true,telegram_catalog_expansion,,seed_candidate
v2_053,telegram,Telegram history discovery candidate 023,,https://tgstat.ru/search?query=history+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4,travel_media,mixed,3,catalog_seed,https://tgstat.ru/,seed v2 discovery lane for Telegram history sources; profile probe required before monitoring,source graph expansion; not auto-monitored,catalog/search placeholder; requires profile probe and manual acceptance,seed_candidate,false,unknown,v2 disabled seed; do not monitor until probed,true,false,true,telegram_catalog_expansion,,seed_candidate
v2_054,telegram,Telegram weekend discovery candidate 024,,https://tgstat.ru/search?query=weekend+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4,travel_media,mixed,3,catalog_seed,https://tgstat.ru/,seed v2 discovery lane for Telegram weekend sources; profile probe required before monitoring,source graph expansion; not auto-monitored,catalog/search placeholder; requires profile probe and manual acceptance,seed_candidate,false,unknown,v2 disabled seed; do not monitor until probed,true,false,true,telegram_catalog_expansion,,seed_candidate
v2_055,telegram,Telegram roadtrip discovery candidate 025,,https://tgstat.ru/search?query=roadtrip+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4,travel_media,mixed,3,catalog_seed,https://tgstat.ru/,seed v2 discovery lane for Telegram roadtrip sources; profile probe required before monitoring,source graph expansion; not auto-monitored,catalog/search placeholder; requires profile probe and manual acceptance,seed_candidate,false,unknown,v2 disabled seed; do not monitor until probed,true,false,true,telegram_catalog_expansion,,seed_candidate
v2_056,telegram,Telegram local_story discovery candidate 026,,https://tgstat.ru/search?query=local_story+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4,catalog,mixed,3,catalog_seed,https://tgstat.ru/,seed v2 discovery lane for Telegram local_story sources; profile probe required before monitoring,source graph expansion; not auto-monitored,catalog/search placeholder; requires profile probe and manual acceptance,seed_candidate,false,unknown,v2 disabled seed; do not monitor until probed,true,false,true,telegram_catalog_expansion,,seed_candidate
v2_057,telegram,Telegram outdoor discovery candidate 027,,https://tgstat.ru/search?query=outdoor+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4,travel_media,mixed,3,catalog_seed,https://tgstat.ru/,seed v2 discovery lane for Telegram outdoor sources; profile probe required before monitoring,source graph expansion; not auto-monitored,catalog/search placeholder; requires profile probe and manual acceptance,seed_candidate,false,unknown,v2 disabled seed; do not monitor until probed,true,false,true,telegram_catalog_expansion,,seed_candidate
v2_058,telegram,Telegram coast discovery candidate 028,,https://tgstat.ru/search?query=coast+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4,travel_media,mixed,3,catalog_seed,https://tgstat.ru/,seed v2 discovery lane for Telegram coast sources; profile probe required before monitoring,source graph expansion; not auto-monitored,catalog/search placeholder; requires profile probe and manual acceptance,seed_candidate,false,unknown,v2 disabled seed; do not monitor until probed,true,false,true,telegram_catalog_expansion,,seed_candidate
v2_059,telegram,Telegram museum discovery candidate 029,,https://tgstat.ru/search?query=museum+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4,travel_media,mixed,3,catalog_seed,https://tgstat.ru/,seed v2 discovery lane for Telegram museum sources; profile probe required before monitoring,source graph expansion; not auto-monitored,catalog/search placeholder; requires profile probe and manual acceptance,seed_candidate,false,unknown,v2 disabled seed; do not monitor until probed,true,false,true,telegram_catalog_expansion,,seed_candidate
v2_060,telegram,Telegram heritage discovery candidate 030,,https://tgstat.ru/search?query=heritage+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4,travel_media,mixed,3,catalog_seed,https://tgstat.ru/,seed v2 discovery lane for Telegram heritage sources; profile probe required before monitoring,source graph expansion; not auto-monitored,catalog/search placeholder; requires profile probe and manual acceptance,seed_candidate,false,unknown,v2 disabled seed; do not monitor until probed,true,false,true,telegram_catalog_expansion,,seed_candidate
v2_061,telegram,Telegram travel discovery candidate 031,,https://tgstat.ru/search?query=travel+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4,catalog,mixed,3,catalog_seed,https://tgstat.ru/,seed v2 discovery lane for Telegram travel sources; profile probe required before monitoring,source graph expansion; not auto-monitored,catalog/search placeholder; requires profile probe and manual acceptance,seed_candidate,false,unknown,v2 disabled seed; do not monitor until probed,true,false,true,telegram_catalog_expansion,,seed_candidate
v2_062,telegram,Telegram route discovery candidate 032,,https://tgstat.ru/search?query=route+%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4,travel_media,mixed,3,catalog_seed,https://tgstat.ru/,seed v2 discovery lane for Telegram route sources; profile probe required before monitoring,source graph expansion; not auto-monitored,catalog/search placeholder; requires profile probe and manual acceptance,seed_candidate,false,unknown,v2 disabled seed; do not monitor until probed,true,false,true,telegram_catalog_expansion,,seed_candidate
