source_seed_id,platform,source_title,handle,url,source_kind,source_scope_guess,priority,discovered_from,discovered_from_url,why_seeded,expected_value,known_risks,initial_status,monitoring_enabled,rights_policy,notes
17,telegram,ПОЕХАЛИ / Первый канал,@Poehali_1tv,https://t.me/Poehali_1tv,travel_media,mixed,3,manual_seed,user_provided_seed_list,travel TV/project source,TV travel source with possible visuals,"промо-анонсы, ТВ-формат, возможна низкая частота релевантных постов",seed_candidate,false,unknown,candidate
18,vkvideo,Интересные путешествия,@intravel39,https://vk.com/intravel39,travel_media,mixed,1,manual_seed,user_provided_seed_list,"VK Video travel channel, в подборке упоминался контент про Калининград",VK Video seed with known Kaliningrad mention,проверить доступность API/постов и права на media,seed_monitor_candidate,true,unknown,VK Video pilot
19,vkvideo,Коте Оганезов,@koteoganezov,https://vk.com/koteoganezov,author_channel,external,2,manual_seed,user_provided_seed_list,"travel/food blogger format, потенциально полезен для гастрономии/маршрутов",travel/food source,не гарантирован Калининград; нужен relevance filter,seed_candidate,false,unknown,candidate
20,vkvideo,Своим Ходом — Виталик и Лиза,@svoimxodom,https://vk.com/svoimxodom,author_channel,external,2,manual_seed,user_provided_seed_list,VK layer того же travel-блогерского проекта,cross-platform identity with Telegram source,связать с Telegram identity; проверить API access,seed_candidate,false,unknown,cross-platform identity
21,vkvideo,Нежный Travel,@nejniy_travel,https://vk.com/nejniy_travel,author_channel,external,1,manual_seed,user_provided_seed_list,VK layer авторского travel-проекта,VK author travel source,проверить API access и media reuse,seed_monitor_candidate,true,unknown,VK monitor candidate
22,vkvideo,Путешествия со смыслом / Алексей Жирухин,@bepowerbacktravel,https://vk.com/bepowerbacktravel,author_channel,external,1,manual_seed,user_provided_seed_list,VK layer авторского проекта о России,VK author Russia travel source,проверить canonical mapping с Telegram @bepowerback_travel,seed_monitor_candidate,true,unknown,cross-platform mapping
23,vkvideo,РГО,@rgoclub,https://vk.com/rgoclub,official_project,mixed,1,manual_seed,user_provided_seed_list,официальный/проектный VK Video источник РГО,official VK Video source,media rights and official repost policy,seed_monitor_candidate,true,unknown,official VK layer
24,vkvideo,Моя Планета,@moyaplaneta,https://vk.com/moyaplaneta,travel_media,mixed,2,manual_seed,user_provided_seed_list,крупный travel/media source,VK media source,news/incident contamination; строгий newsiness filter,seed_candidate,false,unknown,strict newsiness
25,vkvideo,Лесные — жизнь в лесу,@lesnue_channel,https://vk.com/lesnue_channel,nature_project,external,3,manual_seed,user_provided_seed_list,"nature/outdoor source, полезен для visual discovery",nature/outdoor visual discovery,Калининград может не встречаться; скорее expansion seed,seed_candidate,false,unknown,expansion seed
26,web,Telega.in travel/tourism catalog,,https://telega.in/catalog/travel,catalog,unknown,1,catalog_seed,user_provided_seed_list,каталог travel/tourism Telegram channels with descriptions/subscribers/ERR,primary Telegram catalog discovery,catalog data may be stale; do not auto-monitor every entry,seed_monitor_candidate,false,link_only,catalog discovery only
27,web,TLGRM travel category,,https://tlgrm.ru/channels/travel,catalog,unknown,1,catalog_seed,user_provided_seed_list,дополнительный каталог Telegram travel channels,cross-check Telegram sources,catalog data may be stale,seed_monitor_candidate,false,link_only,catalog discovery only
28,web,TGStat travel category,,https://tgstat.ru/ratings/channels/travel,catalog,unknown,1,catalog_seed,user_provided_seed_list,дополнительный источник discovery/cross-check,cross-check handles and source metadata,catalog access/rate limits; data may be stale,seed_monitor_candidate,false,link_only,catalog discovery only
29,web,VK Video travel channel selections,,https://vk.com/video,catalog,unknown,1,catalog_seed,user_provided_seed_list,стартовый источник VK Video travel handles,VK Video source discovery,manual extraction may be needed; API availability unknown,seed_monitor_candidate,false,link_only,catalog discovery only
30,vk,VK Места,,https://vk.com/places,discovery_hub,mixed,2,manual_seed,user_provided_seed_list,"travel hub with routes/places/media-expedition materials, useful for discovery",VK travel hub and regional route discovery,not necessarily a direct post parsing source,seed_candidate,false,unknown,discovery hub only
